cluster_5_nome_marco,annotazioni_parsate,count
SonoParassiti,non meritano,3
SonoParassiti,non meritano aiuto,5
SonoParassiti,non prendono cura,2
SonoParassiti,non ricchezza,2
SonoParassiti,non utili,3
SonoParassiti,preferisce immigrati,2
SonoParassiti,preferisce migranti,2
SonoParassiti,pretendono aiuto,2
SonoParassiti,proteggono migranti,3
SonoParassiti,proteggono stranieri,2
SonoParassiti,ricevono trattamento,3
SonoParassiti,rovinato economia,2
SonoParassiti,rubano lavoro,6
SonoParassiti,sfrutta immigrati,2
SonoParassiti,sono approfittatori,31
SonoParassiti,sono avvantaggiati,9
SonoParassiti,sono benestanti,9
SonoParassiti,sono coperti,2
SonoParassiti,sono fannulloni,10
SonoParassiti,sono fardello,53
SonoParassiti,sono impuniti,29
SonoParassiti,sono ingrati,11
SonoParassiti,sono mantenuti,9
SonoParassiti,sono mendicanti,9
SonoParassiti,sono nomadi,52
SonoParassiti,sono nullafacenti,3
SonoParassiti,sono parassiti,153
SonoParassiti,sono peso,22
SonoParassiti,sono pigri,14
SonoParassiti,sono privilegiati,18
SonoParassiti,sono problema,2
SonoParassiti,sono protetti,5
SonoParassiti,sono sinistra,6
SonoParassiti,sono trattati,55
SonoParassiti,sono tutelati,33
SonoParassiti,sono viziati,3
SonoParassiti,stanno da parte di,2
SonoParassiti,tolgono case,15
SonoParassiti,tolgono soldi,25
SonoParassiti,tutela crimini,6
SonoParassiti,tutela migranti,7
SonoParassiti,tutela musulmani,4
SonoParassiti,tutela rom,6
SonoParassiti,tutela stranieri,6
SonoParassiti,tutelano stranieri,2
SonoParassiti,vivono a spalle di,3
SonoParassiti,è business,34
SonoProblema,immigrati,2
SonoProblema,non hanno diritto,3
SonoProblema,non necessaria,2
SonoProblema,non profughi,47
SonoProblema,sono africani,5
SonoProblema,sono categoria,66
SonoProblema,sono clandestini,20
SonoProblema,sono controllo,11
SonoProblema,sono finti,13
SonoProblema,sono illegali,2
SonoProblema,sono irregolari,53
SonoProblema,sono islamici,2
SonoProblema,sono maschi,4
SonoProblema,sono migranti,2
SonoProblema,sono mussulmani,22
SonoProblema,sono musulmani,14
SonoProblema,sono persone,2
SonoProblema,sono troppi,12
SonoProblema,sono zingari,4
SonoProblema,è controllo,3
SonoProblema,è illegale,3
SonoProblema,è incontrollata,6
SonoSubdoli,ingannano italiani,43
SonoSubdoli,non rispettano legge,2
SonoSubdoli,non rispettano leggi,6
SonoSubdoli,non rispettano regole,5
SonoSubdoli,sono bugiardi,3
SonoSubdoli,sono criminali,168
SonoSubdoli,sono delinquenti,91
SonoSubdoli,sono falsi,4
SonoSubdoli,sono furbi,3
SonoSubdoli,sono ladri,202
SonoSubdoli,sono spacciatori,9
SonoSubdoli,sono truffatori,68
SonoSubdoli,spacciano,29
SonoSubdoli,è colpa,2
