cluster_10_nome_marem,annotazioni_parsate,count
SonoParassiti,fanno figli,2
SonoParassiti,ingannano italiani,43
SonoParassiti,non profughi,47
SonoParassiti,pretendono aiuto,2
SonoParassiti,rovinato economia,2
SonoParassiti,rubano lavoro,6
SonoParassiti,sono approfittatori,31
SonoParassiti,sono benestanti,9
SonoParassiti,sono bugiardi,3
SonoParassiti,sono codardi,3
SonoParassiti,sono falsi,4
SonoParassiti,sono fardello,53
SonoParassiti,sono finti,13
SonoParassiti,sono furbi,3
SonoParassiti,sono ingrati,11
SonoParassiti,sono mantenuti,9
SonoParassiti,sono parassiti,153
SonoParassiti,sono peso,22
SonoParassiti,sono truffatori,68
SonoParassiti,sono viziati,3
SonoParassiti,sono viziosi,3
SonoParassiti,tolgono case,15
SonoParassiti,tolgono soldi,25
SonoParassiti,vivono a spalle di,3
SonoPericolosi,maltrattano italiani,2
SonoPericolosi,portano insicurezza,2
SonoPericolosi,prostituiscono,2
SonoPericolosi,religione a violenza,35
SonoPericolosi,sono aggressivi,3
SonoPericolosi,sono assassini,15
SonoPericolosi,sono criminali,168
SonoPericolosi,sono delinquenti,91
SonoPericolosi,sono ladri,202
SonoPericolosi,sono mafiosi,4
SonoPericolosi,sono minaccia,39
SonoPericolosi,sono pericolo,21
SonoPericolosi,sono pericolosi,52
SonoPericolosi,sono spacciatori,9
SonoPericolosi,sono stupratori,33
SonoPericolosi,sono vandali,4
SonoPericolosi,sono violente,4
SonoPericolosi,sono violenti,111
SonoPericolosi,spacciano,29
SonoPericolosi,stuprano,33
SonoPericolosi,stuprano donne,2
SonoPericolosi,è minaccia,25
SonoPericolosi,è pericolo,6
SonoPigri,drogano,3
SonoPigri,non hanno competenze,2
SonoPigri,non lavorano,8
SonoPigri,non lavorare,24
SonoPigri,sono fannulloni,10
SonoPigri,sono mendicanti,9
SonoPigri,sono nullafacenti,3
SonoPigri,sono pigri,14
SonoSelvaggi,limita libertà,8
SonoSelvaggi,minacciano cultura,5
SonoSelvaggi,non hanno cultura,4
SonoSelvaggi,non hanno cura,5
SonoSelvaggi,non parlano italiano,2
SonoSelvaggi,sono africani,5
SonoSelvaggi,sono animali,48
SonoSelvaggi,sono arretrati,6
SonoSelvaggi,sono dissoluti,2
SonoSelvaggi,sono ignoranti,13
SonoSelvaggi,sono immorali,2
SonoSelvaggi,sono incivili,16
SonoSelvaggi,sono incivili sono,3
SonoSelvaggi,sono incompatibili,23
SonoSelvaggi,sono primitivi,5
SonoSelvaggi,sono retrogradi,2
SonoSelvaggi,sono selvaggi,31
SonoSelvaggi,sono stupidi,2
SonoSelvaggi,sono tribali,2
SonoSelvaggi,sono zingari,4
SonoSelvaggi,va contro valori di,17
SonoSelvaggi,vanno contro valori di,3
SonoTutelati,aiuta immigrati,5
SonoTutelati,aiuta rom,2
SonoTutelati,aiutano rom,3
SonoTutelati,avvantaggia migranti,9
SonoTutelati,avvantaggia rom,9
SonoTutelati,avvantaggia stranieri,2
SonoTutelati,coprono crimini,2
SonoTutelati,difende migranti,3
SonoTutelati,difende mussulmani,3
SonoTutelati,difende rom,6
SonoTutelati,difendono migranti,5
SonoTutelati,favorisce immigrazione,21
SonoTutelati,favorisce mussulmani,3
SonoTutelati,favoriscono immigrazione,9
SonoTutelati,guadagna da business di,2
SonoTutelati,hanno diritti,27
SonoTutelati,incentivano migranti,2
SonoTutelati,lucra su migranti,3
SonoTutelati,lucrano su immigrati,3
SonoTutelati,lucrano su migranti,12
SonoTutelati,mantengono immigrati,5
SonoTutelati,mantengono migranti,3
SonoTutelati,mantengono nomadi,2
SonoTutelati,mantengono rom,3
SonoTutelati,mantengono stranieri,2
SonoTutelati,preferisce immigrati,2
SonoTutelati,preferisce migranti,2
SonoTutelati,preferiscono immigrati,2
SonoTutelati,proteggono migranti,3
SonoTutelati,proteggono stranieri,2
SonoTutelati,sfrutta immigrati,2
SonoTutelati,sono avvantaggiati,9
SonoTutelati,sono coperti,2
SonoTutelati,sono impuniti,29
SonoTutelati,sono privilegiati,18
SonoTutelati,sono protetti,5
SonoTutelati,sono tutelati,33
SonoTutelati,sono vittime,8
SonoTutelati,tutela crimini,6
SonoTutelati,tutela migranti,7
SonoTutelati,tutela musulmani,4
SonoTutelati,tutela rom,6
SonoTutelati,tutela stranieri,6
SonoTutelati,tutelano stranieri,2
SonoTutelati,è business,34
