id,output,cleaned_cl_marem,cleaned_cl_marco,cleaned_cl_ale,pattern,parsed_output,label
_1039924844790525952,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono una minaccia,marem
_1039933675822084096,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1039933675822084096,": ['Sono tutelati']\nSpiegazione: La frase contiene un""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1039934655603060738,: [\'Sono degli sfruttatori\']\n\nSpiegazione: La frase'}],Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1039951259766321152,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1039971907490258945,": ['Sono subdoli']\n\nSpiegazione: La frase""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono subdoli,marco
_1039985235549675520,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene informazioni""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040011593013227522,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040026905959981058,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono subdoli,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono subdoli|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040026905959981058,": ['Sono degli estremisti religiosi']\n\nSpiegazione: La""}]",Sono degli estremisti religiosi,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli estremisti religiosi|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli estremisti religiosi,marem
_1040087838317060096,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono immorali,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono immorali|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1040114475217694721,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene uno""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono pericolosi,ale
_1040114475217694721,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040132464147083265,: [\'Sono degli sfruttatori\']\n\nSpiegazione: La frase'}],Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040132464147083265,: [\'Sono tutelati\']\nSpiegazione: La frase contiene un'}],Sono tutelati,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono tutelati,marem
_1040135829522395136,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040135829522395136,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1040135829522395136,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono subdoli,Portano degrado,Sono una minaccia|Sono subdoli|Portano degrado,Sono una minaccia,marem
_1040141906079043584,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040142016544468992,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040142016544468992,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040142016544468992,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono una minaccia,marem
_1040176023889948672,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040187604963078145,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040187604963078145,": ['Sono tutelati']\n\nSpiegazione: La frase estr""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono tutelati,marem
_1040201110236086274,": Sono degli sfruttatori\n\nInput: La #Brexit è stata voluta""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040203815243399168,: [\'Sono pericolosi\']\nSpiegazione: La frase contiene un riferimento'}],Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1040213899105234947,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono tutelati,marem
_1040213899105234947,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040234048482942976,": ['Peggiorano le nostre condizioni di vita']\n\nSpi""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Peggiorano le nostre condizioni di vita,ale
_1040239520711618560,: \'Sono pericolosi\'\n\nSpiegazione: La frase contiene il'}],Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1040245614217441281,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono degli sfruttatori,marem
_1040245614217441281,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1040245750318424065,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040245750318424065,": ['Sono degli sfruttatori']\n\nInput: La nostra città ha bisogno""}]",Sono degli sfruttatori,Sono subdoli,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono subdoli|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040255457863065603,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Portano degrado,Sono degli sfruttatori|Sono dei parassiti|Portano degrado,Sono degli sfruttatori,marem
_1040255457863065603,: [\'Fanno quello che vogliono senza contribuire\']\n\nSpiegazione'}],Rovinano l'Italia,Sono immorali,Fanno quello che vogliono senza contribuire,Rovinano l'Italia|Sono immorali|Fanno quello che vogliono senza contribuire,Fanno quello che vogliono senza contribuire,ale
_1040262359653208067,": ['Sono tutelati']\n\nSpiegazione: \nLa""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono tutelati,marem
_1040262359653208067,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040274706211983360,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene stereotipi""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1040274706211983360,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono un problema|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040298619587506176,": ['Sono una minaccia']\nSpiegazione: La frase contiene la""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono una minaccia,marem
_1040301249923563520,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono degli estremisti religiosi,Sono incompatibili con noi,Sono pericolosi,Sono degli estremisti religiosi|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1040301249923563520,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1040301249923563520,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040305910386704385,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040305910386704385,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1040330908652449792,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040330908652449792,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono degli sfruttatori,marem
_1040491551649136640,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1040493065176264705,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040498716241788928,: [\'Sono degli sfruttatori\']\n\nInput: Non sono razzista ma'}],Sono degli sfruttatori,Sono subdoli,Sono pericolosi,Sono degli sfruttatori|Sono subdoli|Sono pericolosi,Sono degli sfruttatori,marem
_1040519528860528641,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040522661858824193,": ['Sono pericolosi']\n\n Spiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040522661858824193,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono immorali,Fanno quello che vogliono senza contribuire,Sono una minaccia|Sono immorali|Fanno quello che vogliono senza contribuire,Sono una minaccia,marem
_1040547597377843200,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono incompatibili con noi,Sono pericolosi,Sono una minaccia|Sono incompatibili con noi|Sono pericolosi,Sono una minaccia,marem
_1040573771978031104,": Sono degli sfruttatori\n\nInput: @LucaRicolfi I""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040584808890548224,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono pericolosi,ale
_1040584808890548224,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040584808890548224,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene la""}]",Sono degli estremisti religiosi,Sono incompatibili con noi,Sono pericolosi,Sono degli estremisti religiosi|Sono incompatibili con noi|Sono pericolosi,Sono pericolosi,ale
_1040597166027403264,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040600167844667393,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040600167844667393,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono incompatibili con noi|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040617180428206081,: [\'Sono pericolosi\']\n\nSpiegazione: La frase contiene il'}],Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1040649835576209409,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040655911684063232,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono degli sfruttatori,marem
_1040655911684063232,: [\'Hanno una cultura diversa dalla nostra\']\n\nSpiegazione'}],Rovinano l'Italia,Sono dei parassiti,Hanno una cultura diversa dalla nostra,Rovinano l'Italia|Sono dei parassiti|Hanno una cultura diversa dalla nostra,Hanno una cultura diversa dalla nostra,ale
_1040657329157488641,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040662770700742656,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040670006147776514,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040670006147776514,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono una minaccia,marem
_1040671200660410368,": ['Sono tutelati']\n\nSpiegazione: La frase contiene""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1040671200660410368,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040674772865216512,": ['Fanno quello che vogliono senza contribuire']\nExplanation: La""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Fanno quello che vogliono senza contribuire,ale
_1040725645838479360,": Sono degli sfruttatori\n\n\n\n\n\n\n\n\n\n\n""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040728335091945472,": ['Sono degli sfruttatori']\n\nSpiegazione: \n""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040728335091945472,": ['Sono degli sfruttatori']\n\nSpiegazione: \n""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono degli sfruttatori,marem
_1040836813366194177,": ['Sono degli sfruttatori']\n\nInput: La signora Maria ha detto""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040868266305105921,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040873163490508800,": ['Sono una minaccia']\n\nSpiegazione: La frase contiene""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono una minaccia,marem
_1040873163490508800,": Sono tutelati\n\nSpiegazione: La frase contiene il termine""}]",Sono tutelati,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono tutelati|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono tutelati,marem
_1040873163490508800,": Sono tutelati\n\nSpiegazione: La frase contiene il termine""}]",Sono tutelati,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono tutelati|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono tutelati,marem
_1040873387793547264,: [\'Sono pericolosi\']\n\nSpiegazione: La frase contiene un'}],Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1040885198139940866,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene il""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono pericolosi,ale
_1040885198139940866,": ['Sono un problema']\n\nSpiegazione: La frase contiene""}]",Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono un problema,marco
_1040889717263409152,": ['Sono un problema']\n\nSpiegazione: La frase contiene""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono un problema,marco
_1040907034638594048,: [\'Sono pericolosi\']\n\nSpiegazione: La frase contiene un'}],Rovinano l'Italia,Sono immorali,Sono pericolosi,Rovinano l'Italia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1040908671272857600,": ['Sono degli sfruttatori']\n\nInput: @MatteoR""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040912213882691584,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono incompatibili con noi|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040912213882691584,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Peggiorano le nostre condizioni di vita,Sono degli sfruttatori|Sono dei parassiti|Peggiorano le nostre condizioni di vita,Sono degli sfruttatori,marem
_1040919734626209792,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040926892138876928,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono un problema|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040927153192349696,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040927153192349696,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene un""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1040935027163455488,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040955384012386305,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono dei parassiti,Fanno quello che vogliono senza contribuire,Sono degli sfruttatori|Sono dei parassiti|Fanno quello che vogliono senza contribuire,Sono degli sfruttatori,marem
_1040961581633482752,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono incompatibili con noi,Hanno una cultura diversa dalla nostra,Sono degli sfruttatori|Sono incompatibili con noi|Hanno una cultura diversa dalla nostra,Sono degli sfruttatori,marem
_1040983712706506752,": ['Sono degli sfruttatori']\n\nSpiegazione: La frase""}]",Sono degli sfruttatori,Sono un problema,Sono pericolosi,Sono degli sfruttatori|Sono un problema|Sono pericolosi,Sono degli sfruttatori,marem
_1040983712706506752,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene il""}]",Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono pericolosi,ale
_1040983712706506752,": ['Sono pericolosi']\n\nSpiegazione: La frase contiene il""}]",Sono una minaccia,Sono immorali,Sono pericolosi,Sono una minaccia|Sono immorali|Sono pericolosi,Sono pericolosi,ale
_1041002331658182656,: [\'Sono una minaccia\']\n\nSpiegazione: La frase contiene'}],Sono una minaccia,Sono subdoli,Sono pericolosi,Sono una minaccia|Sono subdoli|Sono pericolosi,Sono una minaccia,marem
